text,service_id,department_id,sub_department_id,workflow_id
"I want a scholarship for my engineering course",POST_MATRIC_SCHOLARSHIP,DEPT_HIGHER_EDU,SUB_SCHOLARSHIP_CELL,WF_SCHOLARSHIP_LIFECYCLE
"I need college scholarship for degree",POST_MATRIC_SCHOLARSHIP,DEPT_HIGHER_EDU,SUB_SCHOLARSHIP_CELL,WF_SCHOLARSHIP_LIFECYCLE
"Post-Matric Scholarship for higher education renewal",POST_MATRIC_SCHOLARSHIP,DEPT_HIGHER_EDU,SUB_SCHOLARSHIP_CELL,WF_SCHOLARSHIP_LIFECYCLE
"Apply for student tuition fee reimbursement",POST_MATRIC_SCHOLARSHIP,DEPT_HIGHER_EDU,SUB_SCHOLARSHIP_CELL,WF_SCHOLARSHIP_LIFECYCLE
"Need financial assistance for BTech college fees",POST_MATRIC_SCHOLARSHIP,DEPT_HIGHER_EDU,SUB_SCHOLARSHIP_CELL,WF_SCHOLARSHIP_LIFECYCLE
"Can I get education financial help for university",POST_MATRIC_SCHOLARSHIP,DEPT_HIGHER_EDU,SUB_SCHOLARSHIP_CELL,WF_SCHOLARSHIP_LIFECYCLE
"National scholarship portal application for post metric",POST_MATRIC_SCHOLARSHIP,DEPT_HIGHER_EDU,SUB_SCHOLARSHIP_CELL,WF_SCHOLARSHIP_LIFECYCLE
"I want help for college fees and hostel allowance",POST_MATRIC_SCHOLARSHIP,DEPT_HIGHER_EDU,SUB_SCHOLARSHIP_CELL,WF_SCHOLARSHIP_LIFECYCLE
"Engineering college fee concession scholarship scheme",POST_MATRIC_SCHOLARSHIP,DEPT_HIGHER_EDU,SUB_SCHOLARSHIP_CELL,WF_SCHOLARSHIP_LIFECYCLE
"Post matric scholarship application for OBC student",POST_MATRIC_SCHOLARSHIP,DEPT_HIGHER_EDU,SUB_SCHOLARSHIP_CELL,WF_SCHOLARSHIP_LIFECYCLE
"Need scholarship urgently for 2nd year degree exams",POST_MATRIC_SCHOLARSHIP,DEPT_HIGHER_EDU,SUB_SCHOLARSHIP_CELL,WF_SCHOLARSHIP_LIFECYCLE
"College fee pay cheyadaniki scholarship kavali",POST_MATRIC_SCHOLARSHIP,DEPT_HIGHER_EDU,SUB_SCHOLARSHIP_CELL,WF_SCHOLARSHIP_LIFECYCLE
"Degree chaduvutunna scholarship apply cheyali",POST_MATRIC_SCHOLARSHIP,DEPT_HIGHER_EDU,SUB_SCHOLARSHIP_CELL,WF_SCHOLARSHIP_LIFECYCLE
"Mujhe college fees ke liye scholarship chahiye",POST_MATRIC_SCHOLARSHIP,DEPT_HIGHER_EDU,SUB_SCHOLARSHIP_CELL,WF_SCHOLARSHIP_LIFECYCLE
"BSc student seeking higher education grant",POST_MATRIC_SCHOLARSHIP,DEPT_HIGHER_EDU,SUB_SCHOLARSHIP_CELL,WF_SCHOLARSHIP_LIFECYCLE
"Diploma complete chesi btech join ayyanu scholarship kavali",POST_MATRIC_SCHOLARSHIP,DEPT_HIGHER_EDU,SUB_SCHOLARSHIP_CELL,WF_SCHOLARSHIP_LIFECYCLE
"Engineering fee waiver post matric scheme submission",POST_MATRIC_SCHOLARSHIP,DEPT_HIGHER_EDU,SUB_SCHOLARSHIP_CELL,WF_SCHOLARSHIP_LIFECYCLE
"MBA first year scholarship form fill up",POST_MATRIC_SCHOLARSHIP,DEPT_HIGHER_EDU,SUB_SCHOLARSHIP_CELL,WF_SCHOLARSHIP_LIFECYCLE
"Govt aid for higher education tuition and books",POST_MATRIC_SCHOLARSHIP,DEPT_HIGHER_EDU,SUB_SCHOLARSHIP_CELL,WF_SCHOLARSHIP_LIFECYCLE
"Need maintenance allowance under national scholarship",POST_MATRIC_SCHOLARSHIP,DEPT_HIGHER_EDU,SUB_SCHOLARSHIP_CELL,WF_SCHOLARSHIP_LIFECYCLE
"I need a new PAN card urgently",INSTANT_E_PAN,DEPT_INCOME_TAX,SUB_PAN_PROCESSING,WF_PAN_LIFECYCLE
"Apply for instant e-PAN using Aadhaar e-KYC",INSTANT_E_PAN,DEPT_INCOME_TAX,SUB_PAN_PROCESSING,WF_PAN_LIFECYCLE
"PAN card application Form 49A paperless",INSTANT_E_PAN,DEPT_INCOME_TAX,SUB_PAN_PROCESSING,WF_PAN_LIFECYCLE
"I want physical PVC PAN card delivered to home",INSTANT_E_PAN,DEPT_INCOME_TAX,SUB_PAN_PROCESSING,WF_PAN_LIFECYCLE
"Need 10 digit permanent account number for income tax filing",INSTANT_E_PAN,DEPT_INCOME_TAX,SUB_PAN_PROCESSING,WF_PAN_LIFECYCLE
"Bank account open cheyadaniki PAN card kavali",INSTANT_E_PAN,DEPT_INCOME_TAX,SUB_PAN_PROCESSING,WF_PAN_LIFECYCLE
"Mera naya PAN card banana hai income tax portal se",INSTANT_E_PAN,DEPT_INCOME_TAX,SUB_PAN_PROCESSING,WF_PAN_LIFECYCLE
"Lost my pan card need reissue instant epan",INSTANT_E_PAN,DEPT_INCOME_TAX,SUB_PAN_PROCESSING,WF_PAN_LIFECYCLE
"Generate epan card immediately with aadhaar otp",INSTANT_E_PAN,DEPT_INCOME_TAX,SUB_PAN_PROCESSING,WF_PAN_LIFECYCLE
"Form 49A submission for individual tax payer card",INSTANT_E_PAN,DEPT_INCOME_TAX,SUB_PAN_PROCESSING,WF_PAN_LIFECYCLE
"Pan card ledu apply cheyali",INSTANT_E_PAN,DEPT_INCOME_TAX,SUB_PAN_PROCESSING,WF_PAN_LIFECYCLE
"Instant PAN card issue request online",INSTANT_E_PAN,DEPT_INCOME_TAX,SUB_PAN_PROCESSING,WF_PAN_LIFECYCLE
"IT return file karne ke liye pan number chahiye",INSTANT_E_PAN,DEPT_INCOME_TAX,SUB_PAN_PROCESSING,WF_PAN_LIFECYCLE
"Physical card dispatch request with speedpost",INSTANT_E_PAN,DEPT_INCOME_TAX,SUB_PAN_PROCESSING,WF_PAN_LIFECYCLE
"How to get pan card quickly without visiting office",INSTANT_E_PAN,DEPT_INCOME_TAX,SUB_PAN_PROCESSING,WF_PAN_LIFECYCLE
"Tax identification card allotment form 49a",INSTANT_E_PAN,DEPT_INCOME_TAX,SUB_PAN_PROCESSING,WF_PAN_LIFECYCLE
"Pan card delivery status tracking",INSTANT_E_PAN,DEPT_INCOME_TAX,SUB_PAN_PROCESSING,WF_PAN_LIFECYCLE
"Need e-pan download copy",INSTANT_E_PAN,DEPT_INCOME_TAX,SUB_PAN_PROCESSING,WF_PAN_LIFECYCLE
"Apply new pan for demat and trading account",INSTANT_E_PAN,DEPT_INCOME_TAX,SUB_PAN_PROCESSING,WF_PAN_LIFECYCLE
"Urgent pan card for joining corporate job",INSTANT_E_PAN,DEPT_INCOME_TAX,SUB_PAN_PROCESSING,WF_PAN_LIFECYCLE
"I need an income certificate from Tehsildar",INCOME_CERTIFICATE,DEPT_REVENUE,SUB_INCOME_CERT,WF_INCOME_CERT_LIFECYCLE
"Family annual income certificate application",INCOME_CERTIFICATE,DEPT_REVENUE,SUB_INCOME_CERT,WF_INCOME_CERT_LIFECYCLE
"Aadayam dhuvapathram kavali meeseva nundi",INCOME_CERTIFICATE,DEPT_REVENUE,SUB_INCOME_CERT,WF_INCOME_CERT_LIFECYCLE
"Pariwar ki varshik aay praman patra banwana hai",INCOME_CERTIFICATE,DEPT_REVENUE,SUB_INCOME_CERT,WF_INCOME_CERT_LIFECYCLE
"Need income proof certificate for college admissions",INCOME_CERTIFICATE,DEPT_REVENUE,SUB_INCOME_CERT,WF_INCOME_CERT_LIFECYCLE
"Statutory income certificate by Revenue officer",INCOME_CERTIFICATE,DEPT_REVENUE,SUB_INCOME_CERT,WF_INCOME_CERT_LIFECYCLE
"Tehsildar signed income declaration document",INCOME_CERTIFICATE,DEPT_REVENUE,SUB_INCOME_CERT,WF_INCOME_CERT_LIFECYCLE
"Certificate showing total family income below 1.5 lakh",INCOME_CERTIFICATE,DEPT_REVENUE,SUB_INCOME_CERT,WF_INCOME_CERT_LIFECYCLE
"Income certificate apply chesa inka raledu",INCOME_CERTIFICATE,DEPT_REVENUE,SUB_INCOME_CERT,WF_INCOME_CERT_LIFECYCLE
"Aay praman patra form revenue vibhag",INCOME_CERTIFICATE,DEPT_REVENUE,SUB_INCOME_CERT,WF_INCOME_CERT_LIFECYCLE
"EWS quota admission ke liye income certificate",INCOME_CERTIFICATE,DEPT_REVENUE,SUB_INCOME_CERT,WF_INCOME_CERT_LIFECYCLE
"Need tahsildar verification on my annual earnings",INCOME_CERTIFICATE,DEPT_REVENUE,SUB_INCOME_CERT,WF_INCOME_CERT_LIFECYCLE
"MRO income certificate for fee reimbursement",INCOME_CERTIFICATE,DEPT_REVENUE,SUB_INCOME_CERT,WF_INCOME_CERT_LIFECYCLE
"Issuance of family income document for government scheme",INCOME_CERTIFICATE,DEPT_REVENUE,SUB_INCOME_CERT,WF_INCOME_CERT_LIFECYCLE
"Salary certificate and ration card attached for income proof",INCOME_CERTIFICATE,DEPT_REVENUE,SUB_INCOME_CERT,WF_INCOME_CERT_LIFECYCLE
"Revenue department annual gross income verification",INCOME_CERTIFICATE,DEPT_REVENUE,SUB_INCOME_CERT,WF_INCOME_CERT_LIFECYCLE
"Low income certificate for reservation benefits",INCOME_CERTIFICATE,DEPT_REVENUE,SUB_INCOME_CERT,WF_INCOME_CERT_LIFECYCLE
"MeeSeva income certificate submission",INCOME_CERTIFICATE,DEPT_REVENUE,SUB_INCOME_CERT,WF_INCOME_CERT_LIFECYCLE
"Tahsildar approved family income report",INCOME_CERTIFICATE,DEPT_REVENUE,SUB_INCOME_CERT,WF_INCOME_CERT_LIFECYCLE
"Family annual income certification under revenue act",INCOME_CERTIFICATE,DEPT_REVENUE,SUB_INCOME_CERT,WF_INCOME_CERT_LIFECYCLE
"I need my land record extract RoR 1B",LAND_RECORD,DEPT_REVENUE,SUB_LAND_RECORDS,WF_LAND_RECORD_LIFECYCLE
"Download patta passbook and pahani copy",LAND_RECORD,DEPT_REVENUE,SUB_LAND_RECORDS,WF_LAND_RECORD_LIFECYCLE
"Certified 1B record of rights survey number copy",LAND_RECORD,DEPT_REVENUE,SUB_LAND_RECORDS,WF_LAND_RECORD_LIFECYCLE
"Maa polam passbook copy kavali dharani nundi",LAND_RECORD,DEPT_REVENUE,SUB_LAND_RECORDS,WF_LAND_RECORD_LIFECYCLE
"Zameen ki khatauni aur khasra nakal chahiye",LAND_RECORD,DEPT_REVENUE,SUB_LAND_RECORDS,WF_LAND_RECORD_LIFECYCLE
"Agricultural land ownership title certificate",LAND_RECORD,DEPT_REVENUE,SUB_LAND_RECORDS,WF_LAND_RECORD_LIFECYCLE
"Bhoomi survey sketch and encumbrance verification",LAND_RECORD,DEPT_REVENUE,SUB_LAND_RECORDS,WF_LAND_RECORD_LIFECYCLE
"Khasra number search and title deed validation",LAND_RECORD,DEPT_REVENUE,SUB_LAND_RECORDS,WF_LAND_RECORD_LIFECYCLE
"Bhoomi RTC and pahani extract download",LAND_RECORD,DEPT_REVENUE,SUB_LAND_RECORDS,WF_LAND_RECORD_LIFECYCLE
"RoR 1B certified document for bank agriculture loan",LAND_RECORD,DEPT_REVENUE,SUB_LAND_RECORDS,WF_LAND_RECORD_LIFECYCLE
"Survey number bifurcation and land map extract",LAND_RECORD,DEPT_REVENUE,SUB_LAND_RECORDS,WF_LAND_RECORD_LIFECYCLE
"Revenue land title dispute verification extract",LAND_RECORD,DEPT_REVENUE,SUB_LAND_RECORDS,WF_LAND_RECORD_LIFECYCLE
"Farmer land passbook renewal application",LAND_RECORD,DEPT_REVENUE,SUB_LAND_RECORDS,WF_LAND_RECORD_LIFECYCLE
"Patta number 442 land boundary verification",LAND_RECORD,DEPT_REVENUE,SUB_LAND_RECORDS,WF_LAND_RECORD_LIFECYCLE
"Dharani revenue portal mutation copy",LAND_RECORD,DEPT_REVENUE,SUB_LAND_RECORDS,WF_LAND_RECORD_LIFECYCLE
"Bhulekh land records verification",LAND_RECORD,DEPT_REVENUE,SUB_LAND_RECORDS,WF_LAND_RECORD_LIFECYCLE
"Check land ownership name change in revenue records",LAND_RECORD,DEPT_REVENUE,SUB_LAND_RECORDS,WF_LAND_RECORD_LIFECYCLE
"Survey sketch copy of my agriculture field",LAND_RECORD,DEPT_REVENUE,SUB_LAND_RECORDS,WF_LAND_RECORD_LIFECYCLE
"RoR 1B document verification by Village Revenue Officer",LAND_RECORD,DEPT_REVENUE,SUB_LAND_RECORDS,WF_LAND_RECORD_LIFECYCLE
"Title deed match with state land records registry",LAND_RECORD,DEPT_REVENUE,SUB_LAND_RECORDS,WF_LAND_RECORD_LIFECYCLE
"I need help with PM Kisan installment money",PM_KISAN,DEPT_AGRICULTURE,SUB_FARMER_SERVICES,WF_PM_KISAN_LIFECYCLE
"PM Kisan Samman Nidhi registration for small farmer",PM_KISAN,DEPT_AGRICULTURE,SUB_FARMER_SERVICES,WF_PM_KISAN_LIFECYCLE
"Apply for 6000 rupees annual farmer income support",PM_KISAN,DEPT_AGRICULTURE,SUB_FARMER_SERVICES,WF_PM_KISAN_LIFECYCLE
"Farmer DBT transfer not received in bank account",PM_KISAN,DEPT_AGRICULTURE,SUB_FARMER_SERVICES,WF_PM_KISAN_LIFECYCLE
"PM kisan kyc update with aadhaar otp",PM_KISAN,DEPT_AGRICULTURE,SUB_FARMER_SERVICES,WF_PM_KISAN_LIFECYCLE
"Rythu bandhu laga pm kisan amount padaledu",PM_KISAN,DEPT_AGRICULTURE,SUB_FARMER_SERVICES,WF_PM_KISAN_LIFECYCLE
"Kisan samman nidhi kist account me nahi aayi",PM_KISAN,DEPT_AGRICULTURE,SUB_FARMER_SERVICES,WF_PM_KISAN_LIFECYCLE
"Register new farmer family for quarterly 2000 rupees",PM_KISAN,DEPT_AGRICULTURE,SUB_FARMER_SERVICES,WF_PM_KISAN_LIFECYCLE
"Bank account NPCI aadhaar seeding for PM Kisan",PM_KISAN,DEPT_AGRICULTURE,SUB_FARMER_SERVICES,WF_PM_KISAN_LIFECYCLE
"Direct benefit transfer scheme for agricultural cultivator",PM_KISAN,DEPT_AGRICULTURE,SUB_FARMER_SERVICES,WF_PM_KISAN_LIFECYCLE
"Krishi Bhawan farmer financial support application",PM_KISAN,DEPT_AGRICULTURE,SUB_FARMER_SERVICES,WF_PM_KISAN_LIFECYCLE
"Small and marginal farmer land seeding for pmkisan",PM_KISAN,DEPT_AGRICULTURE,SUB_FARMER_SERVICES,WF_PM_KISAN_LIFECYCLE
"Kisan nidhi payment status stopped reason",PM_KISAN,DEPT_AGRICULTURE,SUB_FARMER_SERVICES,WF_PM_KISAN_LIFECYCLE
"PM kisan 17th installment beneficiary list check",PM_KISAN,DEPT_AGRICULTURE,SUB_FARMER_SERVICES,WF_PM_KISAN_LIFECYCLE
"Rythu help direct cash transfer from center",PM_KISAN,DEPT_AGRICULTURE,SUB_FARMER_SERVICES,WF_PM_KISAN_LIFECYCLE
"Aadhaar bank link for kisan scheme payment",PM_KISAN,DEPT_AGRICULTURE,SUB_FARMER_SERVICES,WF_PM_KISAN_LIFECYCLE
"Agriculture department pm kisan registration form",PM_KISAN,DEPT_AGRICULTURE,SUB_FARMER_SERVICES,WF_PM_KISAN_LIFECYCLE
"Kisan samman nidhi online form submission",PM_KISAN,DEPT_AGRICULTURE,SUB_FARMER_SERVICES,WF_PM_KISAN_LIFECYCLE
"Farmer assistance under ministry of agriculture",PM_KISAN,DEPT_AGRICULTURE,SUB_FARMER_SERVICES,WF_PM_KISAN_LIFECYCLE
"Quarterly installment release request for farmer",PM_KISAN,DEPT_AGRICULTURE,SUB_FARMER_SERVICES,WF_PM_KISAN_LIFECYCLE
"I need Ayushman Bharat golden card",AYUSHMAN_BHARAT,DEPT_HEALTH,SUB_HEALTH_SCHEMES,WF_AYUSHMAN_LIFECYCLE
"PM-JAY 5 lakh hospital insurance coverage application",AYUSHMAN_BHARAT,DEPT_HEALTH,SUB_HEALTH_SCHEMES,WF_AYUSHMAN_LIFECYCLE
"Free surgery and medical treatment card",AYUSHMAN_BHARAT,DEPT_HEALTH,SUB_HEALTH_SCHEMES,WF_AYUSHMAN_LIFECYCLE
"Ayushman health card download with aadhaar ekyc",AYUSHMAN_BHARAT,DEPT_HEALTH,SUB_HEALTH_SCHEMES,WF_AYUSHMAN_LIFECYCLE
"Hospital admission kosam ayushman card kavali",AYUSHMAN_BHARAT,DEPT_HEALTH,SUB_HEALTH_SCHEMES,WF_AYUSHMAN_LIFECYCLE
"5 lakh tak ka free ilaj card banwana hai",AYUSHMAN_BHARAT,DEPT_HEALTH,SUB_HEALTH_SCHEMES,WF_AYUSHMAN_LIFECYCLE
"Secondary and tertiary healthcare cover for family",AYUSHMAN_BHARAT,DEPT_HEALTH,SUB_HEALTH_SCHEMES,WF_AYUSHMAN_LIFECYCLE
"National Health Authority PMJAY registration",AYUSHMAN_BHARAT,DEPT_HEALTH,SUB_HEALTH_SCHEMES,WF_AYUSHMAN_LIFECYCLE
"Check SECC family eligibility for ayushman bharat",AYUSHMAN_BHARAT,DEPT_HEALTH,SUB_HEALTH_SCHEMES,WF_AYUSHMAN_LIFECYCLE
"Arogya card hospital cashless benefit claim",AYUSHMAN_BHARAT,DEPT_HEALTH,SUB_HEALTH_SCHEMES,WF_AYUSHMAN_LIFECYCLE
"Ayushman card me family member name add karna",AYUSHMAN_BHARAT,DEPT_HEALTH,SUB_HEALTH_SCHEMES,WF_AYUSHMAN_LIFECYCLE
"Pradhan mantri jan arogya yojana e-card generation",AYUSHMAN_BHARAT,DEPT_HEALTH,SUB_HEALTH_SCHEMES,WF_AYUSHMAN_LIFECYCLE
"Aadhaar ration card linking for PM-JAY",AYUSHMAN_BHARAT,DEPT_HEALTH,SUB_HEALTH_SCHEMES,WF_AYUSHMAN_LIFECYCLE
"Free heart operation under ayushman bharat scheme",AYUSHMAN_BHARAT,DEPT_HEALTH,SUB_HEALTH_SCHEMES,WF_AYUSHMAN_LIFECYCLE
"Empanelled hospital admission with ayushman card",AYUSHMAN_BHARAT,DEPT_HEALTH,SUB_HEALTH_SCHEMES,WF_AYUSHMAN_LIFECYCLE
"Medical health assurance policy card issue",AYUSHMAN_BHARAT,DEPT_HEALTH,SUB_HEALTH_SCHEMES,WF_AYUSHMAN_LIFECYCLE
"Ayushman mitra hospital registration assistance",AYUSHMAN_BHARAT,DEPT_HEALTH,SUB_HEALTH_SCHEMES,WF_AYUSHMAN_LIFECYCLE
"Jan arogya health insurance registration",AYUSHMAN_BHARAT,DEPT_HEALTH,SUB_HEALTH_SCHEMES,WF_AYUSHMAN_LIFECYCLE
"Poor family hospital cover 500000 rupees",AYUSHMAN_BHARAT,DEPT_HEALTH,SUB_HEALTH_SCHEMES,WF_AYUSHMAN_LIFECYCLE
"Cashless medical claim under ministry of health",AYUSHMAN_BHARAT,DEPT_HEALTH,SUB_HEALTH_SCHEMES,WF_AYUSHMAN_LIFECYCLE
"I need government housing assistance under PM Awas",PM_AWAS,DEPT_HOUSING,SUB_HOUSING_CELL,WF_PM_AWAS_LIFECYCLE
"Pradhan Mantri Awas Yojana subsidy application",PM_AWAS,DEPT_HOUSING,SUB_HOUSING_CELL,WF_PM_AWAS_LIFECYCLE
"Apply for affordable pucca house construction aid",PM_AWAS,DEPT_HOUSING,SUB_HOUSING_CELL,WF_PM_AWAS_LIFECYCLE
"PMAY credit linked interest subsidy for home loan",PM_AWAS,DEPT_HOUSING,SUB_HOUSING_CELL,WF_PM_AWAS_LIFECYCLE
"Illu kattukovadaniki prabhutva sahayamu kavali",PM_AWAS,DEPT_HOUSING,SUB_HOUSING_CELL,WF_PM_AWAS_LIFECYCLE
"Ghar banane ke liye sarkari awas yojana me aawedan",PM_AWAS,DEPT_HOUSING,SUB_HOUSING_CELL,WF_PM_AWAS_LIFECYCLE
"Urban housing mission beneficiary form submission",PM_AWAS,DEPT_HOUSING,SUB_HOUSING_CELL,WF_PM_AWAS_LIFECYCLE
"Rural gramin awas subsidy release status",PM_AWAS,DEPT_HOUSING,SUB_HOUSING_CELL,WF_PM_AWAS_LIFECYCLE
"Assistance for constructing toilet and pucca house",PM_AWAS,DEPT_HOUSING,SUB_HOUSING_CELL,WF_PM_AWAS_LIFECYCLE
"PMAY urban beneficiary list verification",PM_AWAS,DEPT_HOUSING,SUB_HOUSING_CELL,WF_PM_AWAS_LIFECYCLE
"No pucca house affidavit submission for housing subsidy",PM_AWAS,DEPT_HOUSING,SUB_HOUSING_CELL,WF_PM_AWAS_LIFECYCLE
"Housing grant for economically weaker section EWS",PM_AWAS,DEPT_HOUSING,SUB_HOUSING_CELL,WF_PM_AWAS_LIFECYCLE
"Pradhan mantri awas form with bank details",PM_AWAS,DEPT_HOUSING,SUB_HOUSING_CELL,WF_PM_AWAS_LIFECYCLE
"Subsidised dwelling unit allocation under housing ministry",PM_AWAS,DEPT_HOUSING,SUB_HOUSING_CELL,WF_PM_AWAS_LIFECYCLE
"Water and electricity connection pucca house aid",PM_AWAS,DEPT_HOUSING,SUB_HOUSING_CELL,WF_PM_AWAS_LIFECYCLE
"Awas yojana direct benefit transfer for slab casting",PM_AWAS,DEPT_HOUSING,SUB_HOUSING_CELL,WF_PM_AWAS_LIFECYCLE
"Apply for BLC beneficiary led individual house construction",PM_AWAS,DEPT_HOUSING,SUB_HOUSING_CELL,WF_PM_AWAS_LIFECYCLE
"Low income family home construction government grant",PM_AWAS,DEPT_HOUSING,SUB_HOUSING_CELL,WF_PM_AWAS_LIFECYCLE
"PMAY Gramin sanctioned house installment request",PM_AWAS,DEPT_HOUSING,SUB_HOUSING_CELL,WF_PM_AWAS_LIFECYCLE
"Pucca house construction subsidy application form",PM_AWAS,DEPT_HOUSING,SUB_HOUSING_CELL,WF_PM_AWAS_LIFECYCLE
